--- INICIO DEL PROCESO DE RENOMBRADO en epublibre ---
Archivo 'Dunnett, Gregg - Los ninos de la casa del lago [79058] (r1.0).epub' renombrado y copiado a DONE como 'Dunnett, Gregg - Los niños de la casa del lago [79058] (r1.0).epub'
Archivo 'Durst, Sarah Beth - La tienda de hechizos [79173] (r1.0).epub' renombrado y copiado a DONE como 'Durst, Sarah Beth - La tienda de hechizos [79173] (r1.0).epub'
Archivo 'Ebly, Philippe - [Los conquistadores de lo imposible 11] El robot que vivia su vida [81745] (r1.0 diegoan).epub' renombrado y copiado a DONE como 'Ebly, Philippe - El robot que vivía su vida.epub'
Archivo 'Ebly, Philippe - [Los patrulleros del ano 4003 01] El bosque de los castores [81781] (r1.0 diegoan).epub' renombrado y copiado a DONE como 'Ebly, Philippe - El bosque de los castores.epub'
Archivo 'Ebly, Philippe - [Los patrulleros del ano 4003 02] Los corsarios del espacio [81808] (r1.0 diegoan).epub' renombrado y copiado a DONE como 'Ebly, Philippe - Los corsarios del espacio.epub'
Archivo 'Effinger, George Alec - [Trilogia Cyberpunk - Marid Audran 01] Cuando falla la gravedad [260] (r1.6).epub' renombrado y copiado a DONE como 'Effinger, George Alec - Cuando falla la gravedad.epub'
Archivo 'Elgin, Suzette Haden - [Lengua materna 02] La rosa de Judas [81813] (r1.0).epub' renombrado y copiado a DONE como 'Elgin, Suzette Haden - La rosa de Judas.epub'
Archivo 'Enkvist, Inger - La buena y la mala educacion [45801] (r1.2).epub' renombrado y copiado a DONE como 'Enkvist, Inger - La buena y la mala educación [45801] (r1.2).epub'
Archivo 'Escobar, Mario - [Crimenes de Madrid 09] El invitado [79335] (r1.0).epub' renombrado y copiado a DONE como 'Escobar, Mario - El invitado.epub'
Archivo 'Estrada, Rafael - [Inspector Proaza 03] Delirio en rama [81806] (r1.0).epub' renombrado y copiado a DONE como 'Estrada, Rafael - Delirio en rama.epub'
Archivo 'Eyre, Pilar - Senoras bien [78920] (r1.0).epub' renombrado y copiado a DONE como 'Eyre, Pilar - Señoras bien [78920] (r1.0).epub'
Archivo 'Feeney, Alice - A veces miento [59605] (r1.2).epub' renombrado y copiado a DONE como 'Feeney, Alice - A veces miento [59605] (r1.2).epub'
Archivo 'Feist, Raymond E. - [Saga de la Fractura 01] Mago Aprendiz [7711] (r1.3).epub' renombrado y copiado a DONE como 'Feist, Raymond E. - Mago Aprendiz.epub'
Archivo 'Feito, Virginia - Victorian Psycho [81695] (r1.0) [CA].epub' renombrado y copiado a DONE como 'Feito, Virginia - Victorian Psycho [81695] (r1.0) [CA].epub'
Archivo 'Ferguson, Niall - Civilizacion [33454] (r1.4).epub' renombrado y copiado a DONE como 'Ferguson, Niall - Civilización [33454] (r1.4).epub'
Archivo 'Fernandez Cubas, Cristina - Parientes pobres del diablo [78921] (r1.0).epub' renombrado y copiado a DONE como 'Cubas, Cristina Fernández - Parientes pobres del diablo [78921] (r1.0).epub'
Archivo 'Fernandez-Alvarez, Pepe - Las subversivas [81768] (r1.0).epub' renombrado y copiado a DONE como 'GutiérrezÁlvarez, Pepe - Las subversivas [81768] (r1.0).epub'
Archivo 'Fernandez-Savater, Amador - Capitalismo libidinal Antropologia neoliberal, politicas del deseo y derechizacion del malestar [81865] (r1.0).epub' renombrado y copiado a DONE como 'FernándezSavater, Amador - Capitalismo libidinal Antropología neoliberal, políticas del deseo y derechización del malestar [81865] (r1.0).epub'
Archivo 'Ferrante, Elena - Cronicas del desamor [29691] (r1.2).epub' renombrado y copiado a DONE como 'Ferrante, Elena - Crónicas del desamor [29691] (r1.2).epub'
Archivo 'Fingermann, Gregorio - Logica y teoria del conocimiento [81799] (r1.0).epub' renombrado y copiado a DONE como 'Fingermann, Gregorio - Lógica y teoría del conocimiento [81799] (r1.0).epub'
Archivo 'Flood, Helene - Lherencia [81807] (r1.0) [CA].epub' renombrado y copiado a DONE como 'Flood, Helene - L’herència [81807] (r1.0) [CA].epub'
Archivo 'Ford, Richard - [Frank Bascombe 05] Se mia [75631] (r1.1).epub' renombrado y copiado a DONE como 'Ford, Richard - Sé mía.epub'
Archivo 'Frutos, Noelia - [Mujeres de la mafia 01] Katrina [78558] (r1.1).epub' renombrado y copiado a DONE como 'Frutos, Noelia - Katrina.epub'
Archivo 'Gala, Antonio - El manuscrito carmesi [5232] (r1.1).epub' renombrado y copiado a DONE como 'Gala, Antonio - El manuscrito carmesí [5232] (r1.1).epub'
Archivo 'Gallego Garcia, Laura - [Cuatro lunas 01] Mareas de magia [79364] (r1.0).epub' renombrado y copiado a DONE como 'Garcia, Laura Gallego - Mareas de magia.epub'
Archivo 'Gamboa Gonzalez, Fernando - Guinea [52537] (r1.1).epub' renombrado y copiado a DONE como 'González, Fernando Gamboa - Guinea [52537] (r1.1).epub'
Archivo 'Garcia Ramon, Toni - Mata a tus idolos [81503] (r1.2).epub' renombrado y copiado a DONE como 'Ramón, Toni García - Mata a tus ídolos [81503] (r1.2).epub'
Archivo 'Garcia Ruiz, Silvia - El amor es un sueno para dos [79410] (r1.0).epub' renombrado y copiado a DONE como 'Ruiz, Silvia García - El amor es un sueño para dos [79410] (r1.0).epub'
Archivo 'Gasch, Ramon & Gonzalez, Andreu - Gangsters de Barcelona [81671] (r1.0) [CA].epub' renombrado y copiado a DONE como 'González, Ramon Gasch & Andreu - Gàngsters de Barcelona [81671] (r1.0) [CA].epub'
Archivo 'Gate, Rose - Dejate de rodeos [81715] (r1.0).epub' renombrado y copiado a DONE como 'Gate, Rose - Déjate de rodeos [81715] (r1.0).epub'
Archivo 'Gate, Rose - Echale el lazo [81716] (r1.0).epub' renombrado y copiado a DONE como 'Gate, Rose - Échale el lazo [81716] (r1.0).epub'
Archivo 'Glantz, David M. - Antes de Stalingrado [81918] (r1.0).epub' renombrado y copiado a DONE como 'Glantz, David M. - Antes de Stalingrado [81918] (r1.0).epub'
Archivo 'Glass, Lillian - Hombres toxicos [81796] (r1.1).epub' renombrado y copiado a DONE como 'Glass, Lillian - Hombres tóxicos [81796] (r1.1).epub'
Archivo 'Godoy y Alvarez de Faria, Manuel - [Memorias del Principe de la Paz 04] Memorias del Principe de la Paz IV [81581] (r1.0).epub' renombrado y copiado a DONE como 'Faria, Manuel Godoy y Álvarez de - Memorias del Príncipe de la Paz IV.epub'
Archivo 'Goldsworthy, Adrian - Filipo y Alejandro [81854] (r1.1).epub' renombrado y copiado a DONE como 'Goldsworthy, Adrian - Filipo y Alejandro [81854] (r1.1).epub'
Archivo 'Gorini, Ulises - La otra lucha [76929] (r1.0).epub' renombrado y copiado a DONE como 'Gorini, Ulises - La otra lucha [76929] (r1.0).epub'
Archivo 'Gorini, Ulises - La rebelion de las Madres [75727] (r1.0).epub' renombrado y copiado a DONE como 'Gorini, Ulises - La rebelión de las Madres [75727] (r1.0).epub'
Archivo 'Graham, Lily - El secreto del bistro de Paris [80080] (r1.0).epub' renombrado y copiado a DONE como 'Graham, Lily - El secreto del bistró de París [80080] (r1.0).epub'
Archivo 'Grandes, Almudena - [Episodios de una Guerra Interminable 01] Ines y la alegria [11778] (r2.2).epub' renombrado y copiado a DONE como 'Grandes, Almudena - Inés y la alegría.epub'
Archivo 'Grandes, Almudena - [Episodios de una Guerra Interminable 03] Las tres bodas de Manolita [13571] (r2.1).epub' renombrado y copiado a DONE como 'Grandes, Almudena - Las tres bodas de Manolita.epub'
